MMSI#;IMO#;Kallesignal;Skipsnavn;Passeringer;Tidspunkt (UTC);Skipstype;BT;DWT;L;B;H;D;Land
257062640;0;;ORNHOLMEN;1;21.01.2022 14:58;;;;10;0;0;0;
258267020;0;;;1;15.05.2021 11:49;;;;0;0;0;0;
258267020;0;;;1;15.05.2021 19:21;;;;0;0;0;0;
258316830;0;;;1;15.05.2021 15:00;;;;0;0;0;0;
258592510;0;;;1;15.05.2021 12:18;;;;0;0;0;0;
314548000;0;;;1;15.05.2021 10:16;;;;0;0;0;0;
211624230;0;;;1;16.05.2021 10:15;;;;0;0;0;0;
257034770;0;;;1;16.05.2021 14:31;;;;0;0;0;0;
257694610;0;;;1;16.05.2021 11:00;;;;0;0;0;0;
257784540;0;;;1;16.05.2021 12:00;;;;0;0;0;0;
257900140;0;;;1;16.05.2021 11:31;;;;0;0;0;0;
258105870;0;;;1;16.05.2021 10:00;;;;0;0;0;0;
258114570;0;;;1;16.05.2021 11:00;;;;0;0;0;0;
258128640;0;;;1;16.05.2021 13:01;;;;0;0;0;0;
258175960;0;;;1;16.05.2021 11:31;;;;0;0;0;0;
258267020;0;;;1;16.05.2021 15:54;;;;0;0;0;0;
258267020;0;;;1;16.05.2021 17:44;;;;0;0;0;0;
259020000;0;;;1;16.05.2021 00:31;;;;0;0;0;0;
257042260;0;;;1;17.05.2021 10:53;;;;0;0;0;0;
257042260;0;;;1;17.05.2021 11:24;;;;0;0;0;0;
257504450;0;;;1;17.05.2021 13:15;;;;0;0;0;0;
257560900;0;;OSENFJORD;1;17.05.2021 18:24;;;;21;0;0;0;
257947600;0;;;1;17.05.2021 07:15;;;;0;0;0;0;
258003240;0;;;1;17.05.2021 10:45;;;;0;0;0;0;
258152180;0;;;1;17.05.2021 10:51;;;;0;0;0;0;
258235940;0;;;1;17.05.2021 11:02;;;;0;0;0;0;
258592510;0;;;1;17.05.2021 08:15;;;;0;0;0;0;
257127060;0;;;1;18.05.2021 07:58;;;;0;0;0;0;
257508800;0;;BORE CAT;1;18.05.2021 06:37;;;;15;0;0;0;
257912050;0;;;1;18.05.2021 18:46;;;;0;0;0;0;
257127060;0;;;1;19.05.2021 16:30;;;;0;0;0;0;
257912050;0;;;1;19.05.2021 08:31;;;;0;0;0;0;
257063930;0;;;1;20.05.2021 19:00;;;;0;0;0;0;
257125250;0;;;1;20.05.2021 09:15;;;;0;0;0;0;
257125250;0;;;1;20.05.2021 13:30;;;;0;0;0;0;
257127060;0;;;1;20.05.2021 07:52;;;;0;0;0;0;
257947600;0;;;1;18.02.2021 15:15;;;;0;0;0;0;
257552590;0;;;1;20.05.2021 07:36;;;;0;0;0;0;
257828860;0;;;1;20.05.2021 13:46;;;;0;0;0;0;
258139380;0;;;1;20.05.2021 14:15;;;;0;0;0;0;
257014380;0;;;1;21.05.2021 13:30;;;;0;0;0;0;
257061990;0;;;1;21.05.2021 14:30;;;;0;0;0;0;
257063930;0;;;1;21.05.2021 09:36;;;;0;0;0;0;
257097130;0;;;1;21.05.2021 17:17;;;;0;0;0;0;
257111870;0;;;1;21.05.2021 10:46;;;;0;0;0;0;
257283520;0;;Linskjær;1;21.05.2021 13:15;;;;15,51;0;0;0;
257566850;0;;;1;21.05.2021 19:46;;;;0;0;0;0;
257694610;0;;;1;21.05.2021 17:30;;;;0;0;0;0;
257784540;0;;;1;21.05.2021 14:15;;;;0;0;0;0;
257849070;0;;;1;21.05.2021 21:47;;;;0;0;0;0;
258137750;0;;;1;21.05.2021 15:00;;;;0;0;0;0;
258139960;0;;;1;21.05.2021 18:45;;;;0;0;0;0;
258147480;0;;;1;21.05.2021 16:15;;;;0;0;0;0;
258152180;0;;;1;21.05.2021 13:31;;;;0;0;0;0;
259020000;0;;;1;21.05.2021 09:00;;;;0;0;0;0;
257003550;0;;Jens Bye;1;22.05.2021 16:54;;;;12,6;0;0;0,6;
257003550;0;;Jens Bye;1;22.05.2021 21:15;;;;12,6;0;0;0,6;
257042260;0;;;1;22.05.2021 11:43;;;;0;0;0;0;
257042260;0;;;1;22.05.2021 14:19;;;;0;0;0;0;
257043820;0;;;1;22.05.2021 08:15;;;;0;0;0;0;
257056980;0;;;1;22.05.2021 10:46;;;;0;0;0;0;
257083130;0;;;2;22.05.2021 09:26;;;;0;0;0;0;
257083130;0;;;1;22.05.2021 10:37;;;;0;0;0;0;
257640790;0;;;1;22.05.2021 23:59;;;;0;0;0;0;
257749780;0;;;1;22.05.2021 12:17;;;;0;0;0;0;
257752570;0;;;1;22.05.2021 08:47;;;;0;0;0;0;
257815190;0;;;1;22.05.2021 15:46;;;;0;0;0;0;
257828860;0;;;1;22.05.2021 15:34;;;;0;0;0;0;
257840680;0;;;1;22.05.2021 16:46;;;;0;0;0;0;
257844740;0;;;1;22.05.2021 09:36;;;;0;0;0;0;
257904280;0;;;1;22.05.2021 12:00;;;;0;0;0;0;
257944280;0;;;1;22.05.2021 09:00;;;;0;0;0;0;
258003240;0;;;1;22.05.2021 13:19;;;;0;0;0;0;
258003240;0;;;1;22.05.2021 18:18;;;;0;0;0;0;
258003240;0;;;1;22.05.2021 20:00;;;;0;0;0;0;
258003240;0;;;1;22.05.2021 20:50;;;;0;0;0;0;
258179380;0;;;1;22.05.2021 08:50;;;;0;0;0;0;
258193450;0;;;1;22.05.2021 14:30;;;;0;0;0;0;
258221680;0;;;1;22.05.2021 09:33;;;;0;0;0;0;
258267020;0;;;1;22.05.2021 15:38;;;;0;0;0;0;
258267020;0;;;1;22.05.2021 16:41;;;;0;0;0;0;
257571490;0;;;1;25.03.2021 17:31;;;;0;0;0;0;
258592510;0;;;1;22.05.2021 13:18;;;;0;0;0;0;
257097130;0;;;1;23.05.2021 20:05;;;;0;0;0;0;
257506600;0;;SJOEALG;1;25.03.2021 17:15;;;;18;0;0;0;
257097130;0;;;1;23.05.2021 20:20;;;;0;0;0;0;
257097130;0;;;1;23.05.2021 21:49;;;;0;0;0;0;
257504450;0;;;1;23.05.2021 15:46;;;;0;0;0;0;
257508700;0;;RESCUE TRONDHEIM SAR;1;23.05.2021 18:58;;;;8;0;0;0;
257508700;0;;RESCUE TRONDHEIM SAR;1;23.05.2021 19:13;;;;8;0;0;0;
257632990;0;;;1;23.05.2021 10:16;;;;0;0;0;0;
